count_0,count_1,count_2,count_3,total_area_0,total_area_1,total_area_2,total_area_3,mean_area_0,mean_area_1,mean_area_2,mean_area_3
384.0,542.0,34.0,452.0,49046.0,279289.0,255416.0,135644.0,127.0,515.0,7512.0,300.0
534.0,552.0,37.0,387.0,74976.0,275285.0,307164.0,140583.0,140.0,498.0,8301.0,363.0
507.0,538.0,33.0,456.0,64258.0,282135.0,278448.0,148205.0,126.0,524.0,8437.0,325.0
379.0,524.0,36.0,481.0,39808.0,261860.0,290163.0,124483.0,105.0,499.0,8060.0,258.0
640.0,482.0,36.0,402.0,100544.0,259955.0,359219.0,185386.0,157.0,539.0,9978.0,461.0
536.0,511.0,40.0,450.0,78715.0,251235.0,347749.0,175859.0,146.0,491.0,8693.0,390.0
579.0,490.0,38.0,367.0,93081.0,288203.0,382947.0,178597.0,160.0,588.0,10077.0,486.0
370.0,541.0,42.0,445.0,49764.0,258681.0,335022.0,148434.0,134.0,478.0,7976.0,333.0
179.0,616.0,29.0,486.0,18553.0,255877.0,250061.0,93893.0,103.0,415.0,8622.0,193.0
387.0,519.0,34.0,451.0,45374.0,255107.0,337574.0,127948.0,117.0,491.0,9928.0,283.0
304.0,538.0,33.0,501.0,36389.0,251749.0,327509.0,129065.0,119.0,467.0,9924.0,257.0
551.0,528.0,42.0,396.0,76676.0,231603.0,395446.0,145236.0,139.0,438.0,9415.0,366.0
278.0,619.0,33.0,461.0,31648.0,259364.0,311521.0,102226.0,113.0,419.0,9440.0,221.0
648.0,468.0,42.0,330.0,108913.0,261637.0,575831.0,167013.0,168.0,559.0,13710.0,506.0
487.0,518.0,45.0,442.0,76208.0,259374.0,446111.0,171376.0,156.0,500.0,9913.0,387.0
384.0,588.0,37.0,448.0,43453.0,261387.0,344664.0,94734.0,113.0,444.0,9315.0,211.0
578.0,535.0,40.0,447.0,78326.0,281052.0,436460.0,146712.0,135.0,525.0,10911.0,328.0
168.0,630.0,28.0,489.0,20695.0,252687.0,307146.0,98927.0,123.0,401.0,10969.0,202.0
