count_0,count_1,count_2,count_3,total_area_0,total_area_1,total_area_2,total_area_3,mean_area_0,mean_area_1,mean_area_2,mean_area_3
456.0,640.0,46.0,258.0,58074.0,442867.0,489042.0,82952.0,127.0,691.0,10631.0,321.0
376.0,635.0,54.0,321.0,43460.0,412384.0,500492.0,78552.0,115.0,649.0,9268.0,244.0
410.0,674.0,59.0,263.0,55375.0,423047.0,543802.0,74445.0,135.0,627.0,9216.0,283.0
389.0,652.0,53.0,290.0,49657.0,424674.0,526672.0,89389.0,127.0,651.0,9937.0,308.0
399.0,658.0,53.0,267.0,49595.0,433763.0,546764.0,99201.0,124.0,659.0,10316.0,371.0
278.0,770.0,32.0,342.0,31495.0,531713.0,405504.0,88681.0,113.0,690.0,12672.0,259.0
250.0,754.0,29.0,327.0,28062.0,550896.0,360532.0,69696.0,112.0,730.0,12432.0,213.0
329.0,723.0,39.0,296.0,39483.0,497576.0,446155.0,57004.0,120.0,688.0,11439.0,192.0
301.0,760.0,47.0,277.0,34453.0,474187.0,434751.0,51715.0,114.0,623.0,9250.0,186.0
342.0,713.0,36.0,294.0,43735.0,508982.0,464411.0,60589.0,127.0,713.0,12900.0,206.0
222.0,664.0,40.0,332.0,25208.0,439841.0,468205.0,67851.0,113.0,662.0,11705.0,204.0
259.0,696.0,38.0,327.0,28997.0,464181.0,475015.0,64219.0,111.0,666.0,12500.0,196.0
134.0,798.0,37.0,338.0,11826.0,465491.0,411582.0,59160.0,88.0,583.0,11123.0,175.0
196.0,687.0,45.0,330.0,18972.0,430739.0,492359.0,66862.0,96.0,626.0,10941.0,202.0
287.0,652.0,51.0,292.0,34335.0,423850.0,543283.0,72655.0,119.0,650.0,10652.0,248.0
246.0,697.0,45.0,274.0,26824.0,447091.0,523545.0,60947.0,109.0,641.0,11634.0,222.0
151.0,723.0,37.0,348.0,16896.0,443494.0,462207.0,66795.0,111.0,613.0,12492.0,191.0
221.0,779.0,46.0,354.0,23856.0,427677.0,529347.0,66061.0,107.0,549.0,11507.0,186.0
144.0,754.0,47.0,356.0,16506.0,413973.0,501651.0,69248.0,114.0,549.0,10673.0,194.0
181.0,759.0,43.0,328.0,19384.0,442012.0,474070.0,61082.0,107.0,582.0,11024.0,186.0
104.0,826.0,37.0,334.0,11240.0,432433.0,414716.0,59436.0,108.0,523.0,11208.0,177.0
96.0,816.0,32.0,419.0,9139.0,450235.0,432769.0,77542.0,95.0,551.0,13524.0,185.0
66.0,891.0,37.0,386.0,6096.0,441718.0,411586.0,63801.0,92.0,495.0,11123.0,165.0
154.0,739.0,46.0,360.0,15372.0,397659.0,553593.0,76122.0,99.0,538.0,12034.0,211.0
77.0,869.0,36.0,345.0,6734.0,443936.0,438351.0,56135.0,87.0,510.0,12176.0,162.0
83.0,764.0,38.0,385.0,7374.0,411079.0,499953.0,73642.0,88.0,538.0,13156.0,191.0
147.0,770.0,49.0,359.0,16300.0,395007.0,599991.0,70259.0,110.0,512.0,12244.0,195.0
213.0,729.0,50.0,352.0,21553.0,406519.0,622725.0,75710.0,101.0,557.0,12454.0,215.0
228.0,760.0,48.0,344.0,30186.0,424207.0,643277.0,77244.0,132.0,558.0,13401.0,224.0
53.0,935.0,41.0,335.0,4866.0,415639.0,478582.0,58039.0,91.0,444.0,11672.0,173.0
122.0,761.0,41.0,393.0,11846.0,422494.0,597490.0,65943.0,97.0,555.0,14572.0,167.0
292.0,607.0,48.0,306.0,33910.0,363825.0,788952.0,95641.0,116.0,599.0,16436.0,312.0
48.0,782.0,38.0,366.0,4262.0,385346.0,550590.0,63083.0,88.0,492.0,14489.0,172.0
