count_0,count_1,count_2,count_3,total_area_0,total_area_1,total_area_2,total_area_3,mean_area_0,mean_area_1,mean_area_2,mean_area_3
535.0,454.0,49.0,246.0,80225.0,249012.0,409400.0,84342.0,149.0,548.0,8355.0,342.0
524.0,502.0,51.0,257.0,88190.0,258182.0,422920.0,98576.0,168.0,514.0,8292.0,383.0
461.0,488.0,43.0,292.0,71098.0,294393.0,375215.0,86906.0,154.0,603.0,8725.0,297.0
482.0,495.0,46.0,275.0,71525.0,263067.0,401425.0,110344.0,148.0,531.0,8726.0,401.0
643.0,431.0,56.0,250.0,105493.0,256130.0,464223.0,117682.0,164.0,594.0,8289.0,470.0
499.0,478.0,47.0,294.0,68902.0,268350.0,419805.0,106507.0,138.0,561.0,8932.0,362.0
431.0,501.0,43.0,288.0,62143.0,251355.0,405166.0,92000.0,144.0,501.0,9422.0,319.0
506.0,472.0,50.0,289.0,73393.0,251282.0,424521.0,106404.0,145.0,532.0,8490.0,368.0
581.0,482.0,49.0,274.0,98705.0,266047.0,464392.0,106535.0,169.0,551.0,9477.0,388.0
513.0,507.0,51.0,275.0,77569.0,253671.0,453643.0,100140.0,151.0,500.0,8894.0,364.0
670.0,424.0,50.0,263.0,128023.0,277661.0,476357.0,114809.0,191.0,654.0,9527.0,436.0
623.0,469.0,49.0,276.0,100972.0,256893.0,482435.0,105156.0,162.0,547.0,9845.0,381.0
617.0,481.0,52.0,254.0,96832.0,285534.0,478124.0,104510.0,156.0,593.0,9194.0,411.0
664.0,469.0,55.0,223.0,124803.0,278929.0,504686.0,120146.0,187.0,594.0,9176.0,538.0
658.0,469.0,56.0,238.0,119107.0,281311.0,509745.0,130515.0,181.0,599.0,9102.0,548.0
499.0,509.0,41.0,326.0,67611.0,296670.0,449600.0,113628.0,135.0,582.0,10965.0,348.0
566.0,483.0,50.0,286.0,85580.0,279041.0,489796.0,109456.0,151.0,577.0,9795.0,382.0
629.0,456.0,53.0,265.0,99564.0,276772.0,525075.0,121286.0,158.0,606.0,9907.0,457.0
441.0,509.0,46.0,312.0,63138.0,281999.0,469312.0,90266.0,143.0,554.0,10202.0,289.0
534.0,501.0,46.0,302.0,80762.0,303964.0,507051.0,103972.0,151.0,606.0,11022.0,344.0
569.0,493.0,48.0,292.0,87355.0,304831.0,505833.0,116814.0,153.0,618.0,10538.0,400.0
696.0,453.0,62.0,282.0,123085.0,272156.0,613629.0,140687.0,176.0,600.0,9897.0,498.0
577.0,466.0,51.0,271.0,90407.0,295444.0,534478.0,101914.0,156.0,634.0,10479.0,376.0
683.0,470.0,55.0,271.0,120926.0,277693.0,561522.0,123844.0,177.0,590.0,10209.0,456.0
548.0,516.0,45.0,315.0,81364.0,290961.0,541045.0,102995.0,148.0,563.0,12023.0,326.0
703.0,447.0,55.0,250.0,131481.0,269463.0,618549.0,124908.0,187.0,602.0,11246.0,499.0
538.0,515.0,53.0,278.0,82340.0,247810.0,573607.0,101170.0,153.0,481.0,10822.0,363.0
631.0,482.0,57.0,266.0,103138.0,262799.0,609374.0,121014.0,163.0,545.0,10690.0,454.0
610.0,481.0,57.0,298.0,100495.0,264205.0,632701.0,121648.0,164.0,549.0,11100.0,408.0
546.0,535.0,47.0,335.0,79186.0,292750.0,568104.0,105860.0,145.0,547.0,12087.0,316.0
647.0,494.0,60.0,288.0,93815.0,268616.0,619327.0,95767.0,145.0,543.0,10322.0,332.0
746.0,475.0,59.0,294.0,131560.0,297171.0,675755.0,157246.0,176.0,625.0,11453.0,534.0
553.0,520.0,54.0,281.0,79947.0,297932.0,622781.0,94676.0,144.0,572.0,11532.0,336.0
560.0,531.0,59.0,306.0,82689.0,281601.0,649885.0,103180.0,147.0,530.0,11015.0,337.0
581.0,538.0,53.0,327.0,82548.0,307716.0,622635.0,96949.0,142.0,571.0,11747.0,296.0
598.0,508.0,61.0,320.0,84718.0,275156.0,643075.0,104979.0,141.0,541.0,10542.0,328.0
660.0,505.0,59.0,308.0,112749.0,315108.0,704028.0,137468.0,170.0,623.0,11932.0,446.0
651.0,571.0,63.0,309.0,113647.0,311329.0,705581.0,122653.0,174.0,545.0,11199.0,396.0
517.0,563.0,52.0,336.0,71135.0,315303.0,621812.0,101133.0,137.0,560.0,11957.0,300.0
580.0,533.0,52.0,296.0,82428.0,296835.0,657814.0,107798.0,142.0,556.0,12650.0,364.0
681.0,498.0,68.0,317.0,122283.0,309277.0,763536.0,136192.0,179.0,621.0,11228.0,429.0
664.0,553.0,56.0,297.0,108106.0,330250.0,730963.0,120885.0,162.0,597.0,13052.0,407.0
